"","iosweet","ioacids","iogreen","ioredap","iograss","iounrip","iocooka","iodampt","ioplums","iawhite","iagreen","iayelow","iagreli","iajuicy","iatrans","iapulpy","fbjuicy","fbhardn","txcrisp","txjuicy","txslowb","txspong","flgreen","flredap","flsweet","flacids","flbitte","flgrass","flfresh","flpdrop","flwater","flofffl","flplumc","flunrip","flcoxli","flpearl","flsoapy","assweet","asacids","asbitte","asgreen","asredap","asastri"
"Aurora",25,26.79,28,8.88,24.54,13.21,19.67,14.5,3.5,30.54,12.79,28.21,21.54,29.79,12.04,12.33,39.29,53.33,57.5,47.88,46.58,6,31.67,13.83,31.5,36.71,5.12,9.12,42.88,10.17,8.04,0,4.21,15.33,11.5,3.46,0.62,27.42,27.54,4.21,21,11.42,29.58
"Braeburn",18.04,30.96,40.17,1.17,30.83,20.46,21.04,18.33,1.25,38.04,22.83,11.71,25.83,31.83,21.21,3.62,43.04,59.37,65.21,53.46,49.17,1.08,39.92,7.04,25.96,41.58,7.33,19.29,43.96,6.96,18.42,0,1.46,30.75,2.88,1.08,1.37,20.79,34.58,11.46,33.96,3.67,37.54
"Celeste",24.58,24.58,31.67,7.42,25.37,12.88,16.92,9.5,2.62,46.92,14.58,8.04,19,21.67,14,24.62,26.29,22.13,23.37,32.46,18.58,37.17,18.21,13,30.08,21.58,5.71,9.63,21.54,6.67,20.08,7.42,6.21,6.25,2.75,7.33,0.54,28.25,14.33,9.33,14.25,9.25,23.13
"Compact Golden Delicious",27.12,22.37,29.17,11.29,22.21,15.13,11.58,13.54,4.29,32.79,19.17,23.25,21,17.62,6.5,22.96,22,18.5,20.38,23.5,21.79,42.38,6.96,29.63,38.96,9.17,9.33,3.42,14.96,17.83,19.04,10.92,9.38,0,4.62,15.21,9.17,33.92,5.21,11.29,4.04,23.37,18.42
"Fiesta",22.58,21.96,28.25,8.88,25.58,10.29,14.63,12.25,2.92,34.63,10.62,24.04,11.75,22.83,10.04,19.83,37.17,30.29,30.17,39.96,22.83,26.62,25.87,10,24.12,43.83,9.58,11.79,32.29,4.54,18.13,1.33,5.25,28.04,4.37,1.83,3.5,19.38,39.42,12.5,19.62,7.58,38.08
"Fuji",39.96,13.87,10.75,27.79,16.08,2.96,5.21,8.04,12.54,33.83,5.96,27.87,7.75,33.67,14.79,12.83,37.88,50.46,56.13,50.33,45.96,4.92,11.04,31.63,41.58,16.75,8.25,6.88,33.42,8.38,18.21,3.83,7.21,0.71,7.21,6,0.83,34.96,9.58,11,6,23.21,19.58
"G/S330",29.58,12.33,7.21,22.29,13.21,4.25,2.25,15.33,7.46,28.21,4.25,37.37,9.83,17.71,8.63,24.71,33.13,30.92,32.58,31.87,25.67,26.83,7.25,28.12,39.71,14.37,5.12,4.83,28.21,13.08,15.88,2.75,8.46,0.21,6,6.83,8,35.75,9.42,6.75,6.21,22.54,22.42
"Golden Delicious",26.46,23.5,35,2.79,25.92,15.63,16.08,15.33,0.54,37.96,15.96,15.54,20.42,26.37,13.25,7.08,26.79,43.67,43.92,35.33,55.54,11.79,28.38,9.67,27.75,25.17,11.46,16.54,27.46,3.79,21.08,4.92,2.12,11.88,0.88,5.33,1.42,22.67,15.63,12.92,22.5,4.5,29.58
"Granny Smith",15.5,29.67,38.29,0.67,24.75,22.29,25.87,12.67,0.88,44.08,26.79,1.46,21.42,31.71,29.67,5.54,36.21,57,61.5,46.29,54.87,3,37.63,3.87,27.37,31.5,16.21,21.37,44.88,1,23.83,5.42,1.08,19.62,0.37,1.08,0.67,23.62,25.08,16.29,29.79,2.21,32.92
"Royal Gala",27.92,13.08,13.5,21.5,16.87,8.42,7.75,12.71,6.63,29.71,6.42,30.92,7.58,16.12,6.17,18.5,28.33,35.92,33.08,29.5,26.83,19.62,7.92,26.83,26.83,15.5,9.58,3.88,20.29,7.67,26.25,4.17,2.75,2.08,4.04,14.08,3.58,23.62,9.33,13.75,5.33,13.75,23.87
"Splendour",25.25,24.62,27.04,11.54,24.08,12.46,14.42,16.21,3.92,37.08,13.67,19.96,16.54,18.92,9.63,6.38,26,51.42,45.83,34.04,57.79,13.46,13.71,16.42,33.88,17.62,19.17,14.63,23.29,6.08,16.38,15.63,6.83,7.46,1.87,8.83,5.5,27.12,9.92,22.25,10.21,10.92,27.42
"Top Red",21.71,29.12,43.58,4.17,35.67,23,22.29,11.58,1.63,46.83,18.54,9.13,20.79,28.87,18.04,9.63,36.17,47.46,52.33,45.25,44.5,12.96,30.58,5.38,29.96,19.87,15.46,17.46,27.83,3,34.46,16,2.25,12.17,1.37,5.21,6.33,23,14.58,18.54,19.54,3.08,25.71
